rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
xinrui_zhao_205,True,0,,xinrui zhao,,,,,,,Subject,University,bootstrap count=3
xulong_hou_206,True,0,,xulong hou,,,,,,,Subject,University,bootstrap count=1
yi_jiang_216,True,0,,yi jiang,,,,,,,Subject,University,bootstrap count=1
yipeng_gou_217,True,0,,yipeng gou,,,,,,,Subject,University,bootstrap count=3
yooletta_218,True,0,,yooletta,,,,,,,Yooletta,Gifts,bootstrap count=1
yu_zeng_219,True,0,,yu zeng,,,,,,,Subject,University,bootstrap count=2
yu_zeng_220,True,0,,yu zeng,,,,,,,Merkaz Hahalbasha,Clothing,bootstrap count=1
yu_zeng_221,True,0,,yu zeng,,,,,,,Present,Gifts,bootstrap count=1
yuchen_wang_222,True,0,,yuchen wang,,,,,,,Subject,University,bootstrap count=3
אאוטלט_גן_שמואל_223,True,0,,אאוטלט גן שמואל,,,,,,,Gan Shmuel,House and stuff,bootstrap count=1
אאוטלט_סינמה_פקטורי_224,True,0,,אאוטלט סינמה פקטורי,,,,,,,Factory 54 Outlet,Clothing,bootstrap count=1
אביבית_225,True,0,,אביבית,,,,,,,Avivit Tel Aviv,Pocket money,bootstrap count=1
אביהcarrefour_226,True,0,,אביהcarrefour,,,,,,,Carrefour,🛍️Groceries,bootstrap count=1
אביזרים_לסלולרisim_227,True,0,,אביזרים לסלולרisim,,,,,,,ISim,Unplanned extra expense,bootstrap count=1
אגד_מקומות_שמורים_228,True,0,,אגד מקומות שמורים,,,,,,,Egged,University,bootstrap count=2
אדריאן_דדון_229,True,10,,אדריאן דדון,,,,,,>350,Adrian Sports Trainer,Chugim parents,Amount rule: >350
אדריאן_דדון_230,True,10,,אדריאן דדון,,,,,,<=350,Adrian Sports Trainer,Chugim,Amount rule: <=350
אדריאן_דדון_מאמן_כושר_ובר_231,True,10,,אדריאן דדון מאמן כושר ובר,,,,,,>350,Adrian Sports Trainer,Chugim parents,Amount rule: >350
אהרו_סלתיק_אלקטרומכניקה_232,True,0,,אהרו סלתיק אלקטרומכניקה,,,,,,,Saltik Electromechanics,House and stuff,bootstrap count=1
אהרו_סלתיק_אלקטרומכניקה_233,True,0,,אהרו סלתיק אלקטרומכניקה,,,,,,,Seltick Electromechanics,House and stuff,bootstrap count=1
